epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,408.673,0.48803,2.46132,1.14554,0.46164,0.48972,0.46994,0.43551,0.35306,1.43424,0.69948,0.000195926,0.000195926,0.000195926
2,777.401,0.40852,1.70149,1.06634,0.47701,0.57729,0.51381,0.4945,0.27867,1.25582,0.58212,0.000372525,0.000372525,0.000372525
3,1139.45,0.38705,1.52357,1.04621,0.58804,0.54453,0.57604,0.54743,0.31488,1.19749,0.61653,0.000529721,0.000529721,0.000529721
4,1503.91,0.37486,1.42045,1.03613,0.64179,0.60821,0.63863,0.61181,0.26435,1.07545,0.54942,0.000500682,0.000500682,0.000500682
5,1867.51,0.35204,1.32164,1.01966,0.62866,0.63607,0.65815,0.64283,0.27176,0.99629,0.56756,0.000471576,0.000471576,0.000471576
6,2965.39,0.3361,1.27165,1.00991,0.60211,0.64203,0.68064,0.65715,0.28115,0.97481,0.57065,0.00044247,0.00044247,0.00044247
7,3323.5,0.32705,1.22509,1.00301,0.7002,0.63772,0.68883,0.6716,0.25436,0.92985,0.51358,0.000413364,0.000413364,0.000413364
8,3687.41,0.31739,1.17897,0.99632,0.61333,0.65558,0.69739,0.68518,0.24088,1.0357,0.49875,0.000384258,0.000384258,0.000384258
9,4048.06,0.30768,1.14589,0.99249,0.7491,0.6268,0.72103,0.69795,0.31655,0.89419,0.58507,0.000355152,0.000355152,0.000355152
10,4398.24,0.29842,1.11604,0.98537,0.71103,0.63385,0.71634,0.70942,0.22337,0.88284,0.48037,0.000326046,0.000326046,0.000326046
11,4766.92,0.06511,0.88323,0.92322,0.74141,0.65359,0.72418,0.724,0.14782,0.7932,0.37278,0.00029694,0.00029694,0.00029694
12,5136.09,0.05298,0.80873,0.91421,0.7319,0.66571,0.72916,0.72769,0.14926,0.8502,0.38119,0.000267834,0.000267834,0.000267834
13,5491.12,0.04712,0.74424,0.91029,0.76757,0.65329,0.75289,0.74895,0.15285,0.80065,0.38026,0.000238728,0.000238728,0.000238728
14,5846.63,0.0438,0.69883,0.90885,0.76988,0.68624,0.76085,0.76069,0.15056,0.75946,0.3737,0.000209622,0.000209622,0.000209622
15,6203.86,0.04203,0.66078,0.91079,0.76814,0.67042,0.76035,0.75962,0.1853,0.78248,0.41962,0.000180516,0.000180516,0.000180516
16,6558.02,0.03788,0.61257,0.91173,0.69427,0.73711,0.77953,0.77888,0.14057,0.70798,0.36777,0.00015141,0.00015141,0.00015141
17,6915.86,0.03567,0.5684,0.90919,0.70466,0.73133,0.79218,0.79116,0.19016,0.74735,0.42164,0.000122304,0.000122304,0.000122304
18,7270.94,0.03395,0.53571,0.90834,0.71769,0.75967,0.7992,0.79837,0.18373,0.74483,0.41387,9.3198e-05,9.3198e-05,9.3198e-05
19,7624.97,0.03269,0.50462,0.90613,0.75076,0.70732,0.78744,0.7861,0.16845,0.741,0.39224,6.4092e-05,6.4092e-05,6.4092e-05
20,7989.97,0.03055,0.47108,0.90558,0.7027,0.73944,0.79172,0.7909,0.16398,0.74574,0.38573,3.4986e-05,3.4986e-05,3.4986e-05
