epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.129,1.27932,2.28746,1.30376,0.6084,0.65268,0.65813,0.3975,1.41448,1.35011,1.38568,0.000237831,0.000237831,0.000237831
2,432.598,1.14727,1.44951,1.22322,0.62631,0.67679,0.68585,0.4284,1.3385,1.21271,1.34562,0.00046641,0.00046641,0.00046641
3,631.325,1.11651,1.30889,1.21105,0.68303,0.689,0.7085,0.44898,1.3203,1.12261,1.35138,0.000685563,0.000685563,0.000685563
4,824.455,1.08006,1.18652,1.18792,0.67795,0.69023,0.72057,0.46266,1.28955,1.07696,1.31141,0.000671588,0.000671588,0.000671588
5,1025.6,1.04491,1.10151,1.17188,0.65801,0.70871,0.72234,0.4664,1.28115,1.04154,1.30019,0.000657451,0.000657451,0.000657451
6,1218.87,1.02616,1.03563,1.1564,0.70951,0.70364,0.729,0.4689,1.2779,1.01439,1.29565,0.000643314,0.000643314,0.000643314
7,1418.37,1.00254,0.99151,1.14739,0.71211,0.71013,0.75403,0.48652,1.25953,1.00007,1.28837,0.000629177,0.000629177,0.000629177
8,1616.29,0.99019,0.96905,1.13768,0.75347,0.66952,0.74827,0.48593,1.24484,0.99032,1.27449,0.00061504,0.00061504,0.00061504
9,1815.54,0.97345,0.94374,1.12807,0.71917,0.69594,0.7553,0.49325,1.24652,0.95264,1.2826,0.000600902,0.000600902,0.000600902
10,2013.77,0.96196,0.91422,1.12178,0.73574,0.69491,0.75603,0.49805,1.22617,0.94245,1.2669,0.000586765,0.000586765,0.000586765
11,2209.71,0.95332,0.88593,1.11486,0.75873,0.70514,0.76758,0.51032,1.22742,0.90348,1.25828,0.000572628,0.000572628,0.000572628
12,2405.87,0.94015,0.86859,1.11205,0.71025,0.72992,0.76063,0.50586,1.22436,0.91348,1.26935,0.000558491,0.000558491,0.000558491
13,2599.18,0.93939,0.8504,1.1085,0.71916,0.72121,0.75847,0.50569,1.23072,0.89247,1.27135,0.000544354,0.000544354,0.000544354
14,2797.17,0.92837,0.8347,1.10326,0.72842,0.71345,0.75084,0.50807,1.20412,0.90911,1.25282,0.000530216,0.000530216,0.000530216
15,2994.33,0.91131,0.82404,1.09559,0.72991,0.73653,0.76284,0.5065,1.20711,0.90303,1.26237,0.000516079,0.000516079,0.000516079
16,3190.65,0.90335,0.80161,1.09018,0.71422,0.71844,0.75077,0.50721,1.20609,0.87972,1.25477,0.000501942,0.000501942,0.000501942
17,3385.07,0.88928,0.79066,1.08236,0.72067,0.73241,0.76074,0.51229,1.19201,0.86417,1.24997,0.000487805,0.000487805,0.000487805
18,3579.71,0.88138,0.777,1.07652,0.76399,0.73091,0.7707,0.51712,1.19915,0.86066,1.24772,0.000473668,0.000473668,0.000473668
19,4290.9,0.88569,0.77471,1.07897,0.72892,0.73193,0.76601,0.51842,1.18843,0.85899,1.23303,0.00045953,0.00045953,0.00045953
20,4486.15,0.86856,0.74967,1.06827,0.74818,0.75178,0.7803,0.52684,1.18415,0.84671,1.2423,0.000445393,0.000445393,0.000445393
21,4682.72,0.86332,0.74806,1.0651,0.71871,0.75239,0.776,0.52302,1.19203,0.84182,1.23618,0.000431256,0.000431256,0.000431256
22,4879.56,0.85598,0.72956,1.0612,0.71876,0.75554,0.77417,0.52176,1.19176,0.85744,1.24374,0.000417119,0.000417119,0.000417119
23,5078.87,0.84615,0.71755,1.06066,0.72726,0.74391,0.77402,0.53176,1.17167,0.83905,1.22887,0.000402982,0.000402982,0.000402982
24,5279.71,0.83711,0.71672,1.05452,0.72149,0.74326,0.77002,0.52292,1.1851,0.84969,1.24224,0.000388844,0.000388844,0.000388844
25,5478.68,0.8401,0.70243,1.05287,0.75917,0.74377,0.77125,0.52351,1.17084,0.84694,1.22938,0.000374707,0.000374707,0.000374707
26,5678.56,0.82576,0.69252,1.04548,0.73653,0.7653,0.78186,0.53393,1.16948,0.82938,1.22183,0.00036057,0.00036057,0.00036057
27,5878.79,0.82363,0.68147,1.04476,0.71819,0.78359,0.77836,0.53187,1.16644,0.83466,1.21911,0.000346433,0.000346433,0.000346433
28,6074.29,0.81899,0.67817,1.04398,0.74966,0.73701,0.77185,0.52343,1.178,0.8429,1.23213,0.000332296,0.000332296,0.000332296
